Medicine 1,Medicine 2
2BLINK SOLUT. EYE 15ML,Hamdard Ispaghol (Classic) Husk 30 Sachets
ATELOR TABS F.C. 100MG 20,Atelor (100mg) 20 Tablets
ATELOR TABS F.C. 50MG 20,Lyta (30mg) 10 Capsules
2SUM VIAL DRY 1G 5ML,Nutraxin Vitamin-C 28 Chewable Tablets
2SUM VIAL DRY 2G 5ML,Mimi Papa (M) 10 Adult Diapers
2SUM VIAL DRY 500MG 5ML,Ampiclox (500mg) 100 Capsules
4 ACTION CAPS 30,Eslop (10mg) 14 Tablets
4TH FOLIC TABS F.C. 400Y 30,"Ciproxin (200mg) 100ml, 1 Vial Injection"
4TH FOLIC TABS F.C. 600Y 30,Fitty Dent 200ml Mouth Wash
65+ ONE DAILY TABS 30,FML Forte (0.25%) 5ml Eye Drops
A2A TABS 100MG 10,Rimstar FCT (150/75/275/400mg) 100 Tablets
A2A TABS 25MG 20,Schazobutol-H (400/150mg) 100 Tablets
A2A TABS 50MG 20,Losanta (50mg) 25 Tablets
AARAM CAPS 50MG 20,Pequit XR (150mg) 30 Tablets
AARAM CAPS S.R. 100MG 20,Ulora (40mg) 20 Tablets
AARAM PLUS AMP IM 95MG 2ML 5,A2A (50mg) 20 Tablets
ABACUS SUSP DRY 100MG 50ML,Azotrax (250mg) 6 Tablets
ABACUS SUSP DRY 40MG 50ML,Clear Soft & Shine 90ml Shampoo
ABACUS TABS 100MG 10,Fiofen (120mg) 10 Tablets
ABACUS TABS 200MG 10,Dypin-V (10mg) 50 Tablets
ABAPEN CAPS 100MG 10,EseGrow 60ml Suspension
ABAPEN CAPS 300MG 10,Nuberol (450/35mg) 100 Tablets
ABAXIL TABS F.C. 2.5MG 30,Panot (40mg) 14 Tablets
ABAXIL TABS F.C. 5MG 30,Q-Mox (400mg) 5 Tablets
ABETICOLIC TABS F.C. 10MG 30,Vefixim DS (200mg/5ml) 30ml Suspension
ABETICOLIC TABS F.C. 5MG 30,Novafol (400mcg) 30 Tablets
ABGENIX TABS 20MG 14,Napreben (550mg) 32 Capsules
ABHAYRAB VIAL IM 0.5ML,Davitran DS (100mg) 20 Tablets
ABICLOT PLUS TABS 75MG/75M 10,Gabfast (75mg) 14 Capsules
ABICLOT TABS 75MG 10,Brolene (0.1%) 10ml Eye Drops
ABLIXA TABS 10MG 14,Alfa-D (2mcg/ml) 20ml Oral Drops
ABLIXA TABS 10MG 30,Kurkure Nuts (Salted Peanuts) 14g Snack
ABNIL CAPS 120MG 30,Kurkure Chutney Chaska (RS 20) Snack
ABOCAIN SPINAL AMP. 0.75% 2ML 5,Nesto (40mg) 14 Capsules
ABOCAL TABS EFF. 10,Andic-K (75mg) 20 Tablets
ABOCRAN SACHETS 250MG 5.6G 10,Prescot (50mg) 14 Capsules
ABOLON AMP IM 25MG 1ML 3,Synigan 5ml Eye Drops
A-BONE TABS F.C. 0.5Y 40,Azythra (250mg) 10 Capsules
ABRIVA PLUS TABS F.C. 400MG/100 28,Lazuxe (SPF-60) 45ml Sunblock
ABRIVA TABS F.C. 400MG 28,Pacific DM (12.5mg/5ml) 120ml Cough Syrup
ABURID INFUSION IV 400MG 100ML,Cosome-E 120ml Cough Syrup
ABXICAM TABS DISP. 20MG 10,Immunorho (300mcg) 1 Vial Injection
ACABEL TABS 4MG 10,Caliptrol (10mg) 10 Tablets
ACABEL TABS 8MG 10,Similac (Total Comfort 1) 400g Powdered Milk
ACABEL VIAL DRY 8MG 2ML,Procon (20mg) 10 Tablets
ACASIA CAPS 250MG 10,Gabaplus (300mg) 20 Capsules
ACASIA CAPS 250MG 6,NeoQuel XR (300mg) 30 Tablets
ACASIA SUSP DRY 200MG 15ML,Ketomed (100mg/2ml) 5 Ampoule Injections
ACASIA TABS F.C. 500MG 6,Aquazole (1/1%) 10g Cream
ACCENT CAPS 10MG 14,Iberet-500 120ml Syrup
ACCRED TABS C. 50MG 20,Elilip (50/500mg) 14 Tablets
ACCU-CHEK METER,NT-Tox (500mg) 30 Tablets
ACCU-CHEK STRIPS 100,Pantene Pro-V (Anti Hair Fall) 360ml Shampoo
ACCU-CHEK STRIPS 25,Koflet 100ml Syrup
ACCU-CHEK STRIPS 50,Novapime (1g) 1 Injection
